column_name,category,data_type,n_unique,n_missing,target_related,leakage_risk,availability_status,contemporaneous_use_at_t,lagged_use,city,weather_family,reasoning
temp_Valencia,ambiguous,float64,5988,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,temp,"Observed weather field 'temp' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_min_Barcelona,ambiguous,float64,3483,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,temp_min,"Observed weather field 'temp_min' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_min_Bilbao,ambiguous,float64,6165,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,temp_min,"Observed weather field 'temp_min' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_min_Madrid,ambiguous,float64,4370,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,temp_min,"Observed weather field 'temp_min' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_min_Seville,ambiguous,float64,4692,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,temp_min,"Observed weather field 'temp_min' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_min_Valencia,ambiguous,float64,4012,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,temp_min,"Observed weather field 'temp_min' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_max_Barcelona,ambiguous,float64,3484,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,temp_max,"Observed weather field 'temp_max' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_max_Bilbao,ambiguous,float64,6173,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,temp_max,"Observed weather field 'temp_max' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_max_Madrid,ambiguous,float64,4420,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,temp_max,"Observed weather field 'temp_max' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_max_Seville,ambiguous,float64,4695,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,temp_max,"Observed weather field 'temp_max' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_max_Valencia,ambiguous,float64,4004,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,temp_max,"Observed weather field 'temp_max' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
pressure_Barcelona,ambiguous,float64,112,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,pressure,"Observed weather field 'pressure' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
pressure_Bilbao,ambiguous,float64,75,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,pressure,"Observed weather field 'pressure' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
pressure_Madrid,ambiguous,float64,115,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,pressure,"Observed weather field 'pressure' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
pressure_Seville,ambiguous,float64,64,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,pressure,"Observed weather field 'pressure' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
pressure_Valencia,ambiguous,float64,91,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,pressure,"Observed weather field 'pressure' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
humidity_Barcelona,ambiguous,float64,99,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,humidity,"Observed weather field 'humidity' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
humidity_Bilbao,ambiguous,float64,90,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,humidity,"Observed weather field 'humidity' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
humidity_Madrid,ambiguous,float64,96,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,humidity,"Observed weather field 'humidity' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
humidity_Seville,ambiguous,float64,94,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,humidity,"Observed weather field 'humidity' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
humidity_Valencia,ambiguous,float64,92,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,humidity,"Observed weather field 'humidity' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_speed_Barcelona,ambiguous,float64,16,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,wind_speed,"Observed weather field 'wind_speed' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_speed_Bilbao,ambiguous,float64,16,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,wind_speed,"Observed weather field 'wind_speed' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_speed_Madrid,ambiguous,float64,18,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,wind_speed,"Observed weather field 'wind_speed' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_speed_Seville,ambiguous,float64,16,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,wind_speed,"Observed weather field 'wind_speed' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_speed_Valencia,ambiguous,float64,35,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,wind_speed,"Observed weather field 'wind_speed' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_deg_Barcelona,ambiguous,float64,375,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,wind_deg,"Observed weather field 'wind_deg' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_deg_Bilbao,ambiguous,float64,384,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,wind_deg,"Observed weather field 'wind_deg' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_deg_Madrid,ambiguous,float64,381,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,wind_deg,"Observed weather field 'wind_deg' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_deg_Seville,ambiguous,float64,373,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,wind_deg,"Observed weather field 'wind_deg' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
wind_deg_Valencia,ambiguous,float64,367,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,wind_deg,"Observed weather field 'wind_deg' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
rain_1h_Barcelona,ambiguous,float64,5,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,rain_1h,"Observed weather field 'rain_1h' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
rain_1h_Bilbao,ambiguous,float64,4,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,rain_1h,"Observed weather field 'rain_1h' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
rain_1h_Madrid,ambiguous,float64,4,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,rain_1h,"Observed weather field 'rain_1h' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
rain_1h_Seville,ambiguous,float64,4,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,rain_1h,"Observed weather field 'rain_1h' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
rain_1h_Valencia,ambiguous,float64,7,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,rain_1h,"Observed weather field 'rain_1h' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
rain_3h_Barcelona,ambiguous,float64,50,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Barcelona,rain_3h,Observed rain_3h for Barcelona aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
rain_3h_Bilbao,ambiguous,float64,71,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Bilbao,rain_3h,Observed rain_3h for Bilbao aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
rain_3h_Madrid,ambiguous,float64,38,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Madrid,rain_3h,Observed rain_3h for Madrid aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
rain_3h_Seville,ambiguous,float64,31,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Seville,rain_3h,Observed rain_3h for Seville aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
rain_3h_Valencia,ambiguous,float64,44,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Valencia,rain_3h,Observed rain_3h for Valencia aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
snow_3h_Barcelona,ambiguous,float64,1,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Barcelona,snow_3h,Observed snow_3h for Barcelona aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
snow_3h_Bilbao,ambiguous,float64,65,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Bilbao,snow_3h,Observed snow_3h for Bilbao aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
snow_3h_Madrid,ambiguous,float64,2,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Madrid,snow_3h,Observed snow_3h for Madrid aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
snow_3h_Seville,ambiguous,float64,1,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Seville,snow_3h,Observed snow_3h for Seville aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
snow_3h_Valencia,ambiguous,float64,4,0,False,high,unknown_publication_time_and_unknown_3h_window,do_not_include,potentially_valid_if_window_ends_before_origin,Valencia,snow_3h,Observed snow_3h for Valencia aligned to hour t. Same-hour weather is not known before delivery day D. Additionally the 3-hour window direction is not documented; it may include minutes after t. Do not silently include. Lagged use only after window-end < forecast origin.
clouds_all_Barcelona,ambiguous,float64,86,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,clouds_all,"Observed weather field 'clouds_all' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
