feature,feature_group,classification_strict,classification_assumed,known_at_dam_origin,time_needed,future_leakage_risk,used_by_locked_model,strict_usable,notes
forecast_solar_share_of_load,day_ahead_forecast,UNKNOWN,CONDITIONAL,unverified,TSO day-ahead forecast published for hour t,medium,True,False,"Column names say day-ahead, but the file has no publication timestamp. Forecast availability timestamp is not independently verified. STRICT will not use these values from a future row."
price_day_ahead_lag_24,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
price_day_ahead_lag_48,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
price_day_ahead_lag_168,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
price_mean_lag24_lag48,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
price_mean_lag24_lag48_lag168,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
price_std_lag24_lag48_lag168,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
price_min_lag24_lag48_lag168,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
price_max_lag24_lag48_lag168,historical_target,SAFE,SAFE,yes,published DAM prices at t-24 / t-48 / t-168,low,True,True,"Yesterday's full auction curve was published on D-2, so t-24/48/168 target lags do not use the same-day auction. t-1 is not created."
total_load_actual_lag_24,historical_load,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
total_load_actual_lag_48,historical_load,SAFE,SAFE,yes,actual series at t-48,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
total_load_actual_lag_168,historical_load,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
load_forecast_error_lag_24,historical_load,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_biomass_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_biomass_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_fossil_brown_coal_lignite_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_fossil_brown_coal_lignite_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_fossil_gas_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_fossil_gas_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_fossil_hard_coal_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_fossil_hard_coal_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_fossil_oil_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_fossil_oil_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_hydro_pumped_storage_consumption_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_hydro_pumped_storage_consumption_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_hydro_run_of_river_and_poundage_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_hydro_run_of_river_and_poundage_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_hydro_water_reservoir_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_hydro_water_reservoir_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_nuclear_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_nuclear_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_other_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_other_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_other_renewable_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_other_renewable_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_solar_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_solar_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_waste_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_waste_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
generation_wind_onshore_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
generation_wind_onshore_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
total_generation_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
renewable_generation_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
fossil_generation_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
renewable_share_lag_24,historical_generation,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
total_generation_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
renewable_generation_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
fossil_generation_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
renewable_share_lag_168,historical_generation,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_sin_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_cos_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_sin_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_cos_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
temp_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
temp_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
humidity_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
humidity_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
pressure_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
pressure_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_speed_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_speed_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
clouds_all_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
clouds_all_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_1h_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_1h_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_3h_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_3h_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
snow_3h_barcelona_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
snow_3h_barcelona_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_sin_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_cos_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_sin_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_cos_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
temp_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
temp_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
humidity_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
humidity_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
pressure_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
pressure_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_speed_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_speed_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
clouds_all_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
clouds_all_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_1h_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_1h_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_3h_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_3h_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
snow_3h_bilbao_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
snow_3h_bilbao_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_sin_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_cos_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_sin_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_cos_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
temp_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
temp_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
humidity_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
humidity_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
pressure_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
pressure_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_speed_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_speed_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
clouds_all_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
clouds_all_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_1h_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_1h_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_3h_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
